dist,elev,remarks,x,y
0,98.58,LEP BOP,565122.4069,5403957.044
0,98.77,LEP TOP,,
0.5,98.61,Bankfull,,
2.3,98.46,,,
3.7,98.51,,,
6.5,98.51,,,
9.1,98.32,,,
13.7,98.35,,,
18.3,98.2,,,
20.9,98.33,,,
25.1,98.11,,,
28.2,97.81,,,
30.4,97.68,,,
33.1,97.48,LEW,,
34,97.36,,,
35,97.21,,,
36,97.2,,,
37,97.09,,,
38,97.16,,,
39,97.07,,,
40,96.93,,,
41,96.79,,,
42,96.77,,,
43,96.69,,,
44,96.69,,,
45,96.78,,,
46,96.76,,,
47,96.79,,,
48,97.02,,,
49,97.24,,,
50,97.28,,,
51,97.25,,,
52,97.16,,,
53,97.28,,,
54,97.28,,,
55,97.35,,,
56,97.3,,,
57,97.48,,,
57.3,97.58,REW,,
57.8,97.88,,,
58.8,99.24,,,
59.3,99.28,REP BOP XS27,565181.4227,5403949.592
59.3,99.54,REP TOP XS27,,
